subid,subage,condition,trial,speakerChange,agent,altAgent,leftFruit,rightFruit,pref,pick,correct,rt,test_date,experiment,experimenter,keep_drop,sex,dob,age_num,check_age
190201_3_pref2,3,preference,train,false,Elephant,Dog,car,bear,left,http://langcog.stanford.edu/expts/mcc/experiments/kids_preference/images/car.png,1,12207,2019-02-01,mcc_kids_pref_2,MM,keep,F,2015-04-02,3.8383561643835615,TRUE
190201_3_pref2,3,preference,train,false,Pig,Dog,duck,ball,right,http://langcog.stanford.edu/expts/mcc/experiments/kids_preference/images/ball.png,1,10706,2019-02-01,mcc_kids_pref_2,MM,keep,F,2015-04-02,3.8383561643835615,TRUE
190201_3_pref2,3,preference,1,true,Sheep,Dog,t5,t11,left,http://langcog.stanford.edu/expts/mcc/experiments/kids_preference/images/t11.png,0,14458,2019-02-01,mcc_kids_pref_2,MM,keep,F,2015-04-02,3.8383561643835615,TRUE
190201_3_pref2,3,preference,2,false,Mouse,Monkey,t1,t14,left,http://langcog.stanford.edu/expts/mcc/experiments/kids_preference/images/t1.png,1,12739,2019-02-01,mcc_kids_pref_2,MM,keep,F,2015-04-02,3.8383561643835615,TRUE
190201_3_pref2,3,preference,3,false,Cat,Monkey,t8,t12,right,http://langcog.stanford.edu/expts/mcc/experiments/kids_preference/images/t12.png,1,12275,2019-02-01,mcc_kids_pref_2,MM,keep,F,2015-04-02,3.8383561643835615,TRUE
190201_3_pref2,3,preference,4,true,Frog,Monkey,t6,t9,left,http://langcog.stanford.edu/expts/mcc/experiments/kids_preference/images/t6.png,1,11627,2019-02-01,mcc_kids_pref_2,MM,keep,F,2015-04-02,3.8383561643835615,TRUE
190201_3_pref2,3,preference,5,false,Beaver,Pig,t7,t15,left,http://langcog.stanford.edu/expts/mcc/experiments/kids_preference/images/t7.png,1,14440,2019-02-01,mcc_kids_pref_2,MM,keep,F,2015-04-02,3.8383561643835615,TRUE
190201_3_pref2,3,preference,6,true,Tiger,Pig,t2,t10,right,http://langcog.stanford.edu/expts/mcc/experiments/kids_preference/images/t10.png,1,13539,2019-02-01,mcc_kids_pref_2,MM,keep,F,2015-04-02,3.8383561643835615,TRUE
190201_3_pref2,3,preference,7,false,Bunny,Elephant,t16,t4,right,http://langcog.stanford.edu/expts/mcc/experiments/kids_preference/images/t4.png,1,11893,2019-02-01,mcc_kids_pref_2,MM,keep,F,2015-04-02,3.8383561643835615,TRUE
190201_3_pref2,3,preference,8,true,Bear,Elephant,t17,t3,right,http://langcog.stanford.edu/expts/mcc/experiments/kids_preference/images/t3.png,1,10140,2019-02-01,mcc_kids_pref_2,MM,keep,F,2015-04-02,3.8383561643835615,TRUE
